time,brake,rpm,speed
54.45,0,0.753138708,0.466065292
54.462,0,0.753138708,0.466494845
54.474,0,0.755407654,0.468213058
54.487,0,0.755407654,0.46709622
54.499,0,0.755407654,0.469501718
54.51,0,0.755407654,0.469415808
54.523,0,0.755407654,0.470446735
54.534,0,0.755407654,0.471649485
54.546,0,0.756315232,0.472164948
54.559,0,0.756315232,0.473883162
54.571,0,0.757071547,0.474914089
54.59,0,0.760248071,0.475257732
54.595,0,0.760248071,0.476718213
54.607,0,0.760248071,0.477319588
54.619,0,0.760248071,0.478006873
54.631,0,0.760248071,0.477749141
54.643,0,0.761004387,0.479639175
54.655,0,0.761004387,0.48024055
54.667,0,0.761004387,0.480927835
54.679,0,0.761004387,0.482989691
54.691,0,0.76266828,0.483247423
54.703,0,0.76266828,0.4854811
54.716,0,0.763424595,0.4854811
54.727,0,0.763424595,0.485996564
54.739,0,0.764180911,0.486769759
54.752,0,0.764180911,0.487027491
54.764,0,0.764937226,0.488316151
54.776,0,0.764937226,0.489175258
54.788,0,0.765844804,0.489862543
54.8,0,0.767357435,0.491666667
54.813,0,0.767357435,0.492268041
54.824,0,0.769021328,0.493642612
54.836,0,0.769021328,0.494587629
54.848,0,0.769928906,0.494329897
54.86,0,0.769928906,0.496391753
54.872,0,0.769021328,0.497079038
54.884,0,0.769021328,0.496134021
54.896,0,0.770685222,0.498109966
54.908,0,0.770685222,0.499226804
54.921,0,0.771441537,0.500429553
54.932,0,0.771441537,0.500429553
54.945,0,0.77310543,0.501890034
54.957,0,0.77310543,0.504123711
54.969,0,0.77310543,0.501975945
54.981,0,0.77310543,0.504725086
54.993,0,0.77310543,0.505670103
55.005,0,0.77310543,0.504295533
55.017,0,0.774013009,0.507130584
55.029,0,0.774013009,0.507989691
55.041,0,0.77310543,0.50790378
55.053,0,0.77310543,0.51056701
55.065,0,0.775676902,0.510738832
55.077,0,0.775676902,0.51056701
55.089,0,0.775676902,0.51185567
55.101,0,0.775676902,0.513573883
55.113,0,0.776433217,0.513402062
55.125,0,0.776433217,0.513402062
55.137,0,0.776433217,0.515549828
55.15,0,0.776433217,0.517611684
55.162,0,0.778097111,0.51709622
55.174,0,0.778097111,0.518127148
55.186,0,0.777340796,0.51975945
55.198,0,0.777340796,0.519072165
55.21,0,0.779004689,0.520790378
55.222,0,0.779004689,0.52104811
55.234,0,0.779004689,0.521305842
55.246,0,0.779004689,0.524054983
55.258,0,0.779761004,0.523195876
55.27,0,0.779761004,0.524140893
55.282,0,0.779004689,0.526975945
55.294,0,0.779004689,0.525945017
55.307,0,0.781424898,0.527061856
55.319,0,0.780668583,0.528350515
55.331,0,0.780668583,0.528092784
55.343,0,0.782332476,0.528694158
55.355,0,0.782332476,0.530756014
55.367,0,0.783088791,0.531013746
55.379,0,0.783088791,0.53161512
55.391,0,0.782332476,0.533762887
55.403,0,0.782332476,0.534278351
55.415,0,0.784903948,0.536597938
55.427,0,0.784903948,0.534707904
55.439,0,0.784903948,0.534707904
55.452,0,0.784903948,0.537199313
55.463,0,0.786567841,0.538058419
55.475,0,0.786567841,0.53814433
55.488,0,0.786567841,0.5395189
55.499,0,0.786567841,0.540721649
55.511,0,0.786567841,0.541065292
55.523,0,0.786567841,0.542182131
55.536,0,0.788231735,0.542268041
55.548,0,0.788231735,0.542268041
55.559,0,0.789139313,0.543986254
55.572,0,0.789139313,0.546219931
55.584,0,0.789139313,0.545274914
55.596,0,0.789139313,0.546134021
55.608,0,0.789139313,0.549312715
55.621,0,0.789139313,0.547594502
55.632,0,0.790046892,0.549226804
55.644,0,0.790046892,0.549828179
55.656,0,0.792618363,0.550773196
55.668,0,0.792618363,0.552491409
55.681,0,0.791710785,0.552061856
55.692,0,0.791710785,0.55266323
55.704,0,0.790803207,0.554295533
55.717,0,0.790803207,0.555068729
55.729,0,0.793374679,0.555584192
55.741,0,0.793374679,0.55661512
55.753,0,0.794282257,0.557388316
55.765,0,0.794282257,0.556958763
55.777,0,0.793374679,0.557817869
55.789,0,0.793374679,0.56056701
55.801,0,0.794282257,0.560223368
55.814,0,0.794282257,0.560824742
55.826,0,0.794282257,0.561683849
55.837,0,0.796853729,0.56314433
55.849,0,0.796853729,0.56185567
55.861,0,0.796097413,0.564089347
55.873,0,0.796097413,0.565206186
55.885,0,0.797761307,0.565206186
55.897,0,0.797761307,0.565893471
55.91,0,0.797761307,0.567783505
55.922,0,0.797761307,0.569931271
55.934,0,0.796853729,0.56847079
55.946,0,0.796853729,0.569587629
55.958,0,0.799576463,0.570532646
55.97,0,0.799576463,0.569931271
55.982,0,0.799576463,0.571993127
55.994,0,0.799576463,0.573797251
56.006,0,0.80139162,0.572766323
56.018,0,0.80139162,0.574312715
56.03,0,0.799576463,0.575773196
56.042,0,0.799576463,0.576202749
56.054,0,0.802147935,0.575343643
56.066,0,0.802147935,0.577233677
56.078,0,0.803963092,0.57757732
56.09,0,0.803963092,0.578865979
56.102,0,0.803963092,0.578865979
56.114,0,0.803963092,0.580584192
56.127,0,0.803963092,0.582560137
56.139,0,0.803963092,0.580927835
56.151,0,0.805778248,0.583075601
56.163,0,0.805778248,0.584020619
56.175,0,0.806685827,0.583419244
56.187,0,0.806685827,0.583591065
56.199,0,0.807593405,0.586426117
56.211,0,0.807593405,0.587113402
56.223,0,0.807593405,0.586941581
